epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9325,1.65277,4.05339,1.13462,0.00951,0.39137,0.04217,0.03116,1.08093,3.76546,0.87887,7.5e-05,7.5e-05,7.5e-05
2,26.6376,1.63118,3.34871,1.04606,0.02554,0.58788,0.16822,0.11782,1.23985,3.55131,0.89325,0.000160891,0.000160891,0.000160891
3,39.728,1.61157,2.21097,0.98778,0.0217,0.66315,0.48112,0.28635,1.22517,3.11513,0.88453,0.00024505,0.00024505,0.00024505
4,52.6434,1.571,1.61459,0.96467,0.73684,0.52776,0.5113,0.29054,1.29156,2.8336,0.89028,0.000327476,0.000327476,0.000327476
5,65.8026,1.47639,1.34408,0.96687,0.95995,0.17152,0.55065,0.31204,1.33969,2.64639,0.92281,0.00040817,0.00040817,0.00040817
6,79.1405,1.43017,1.15844,0.94784,0.82726,0.11926,0.41778,0.23825,1.41026,2.50195,0.94402,0.000487131,0.000487131,0.000487131
7,91.9885,1.4194,1.08345,0.96031,0.82029,0.22931,0.39815,0.24117,1.47762,2.11516,0.96794,0.00056436,0.00056436,0.00056436
8,104.909,1.42125,1.03739,0.95341,0.95686,0.28215,0.45941,0.24866,1.40458,2.07426,0.93603,0.000639856,0.000639856,0.000639856
9,117.812,1.35163,0.99045,0.96115,0.83491,0.28536,0.68822,0.31034,1.42314,1.96911,0.95566,0.00071362,0.00071362,0.00071362
10,130.669,1.32794,0.93017,0.94851,0.82949,0.33259,0.70395,0.33375,1.39445,1.74252,0.95474,0.000785651,0.000785651,0.000785651
11,143.789,1.33273,0.90474,0.95777,0.70286,0.52781,0.69214,0.33315,1.36246,1.66291,0.96639,0.00085595,0.00085595,0.00085595
12,156.567,1.2685,0.88606,0.94955,0.84402,0.6795,0.73221,0.33586,1.57931,1.36686,1.0092,0.000924516,0.000924516,0.000924516
13,169.379,1.35829,0.86466,0.93863,0.84221,0.68902,0.73284,0.38138,1.58089,1.2442,1.01718,0.00099135,0.00099135,0.00099135
14,182.84,1.36586,0.89023,0.94192,0.86455,0.70229,0.74666,0.41834,1.27401,1.21935,0.96779,0.00105645,0.00105645,0.00105645
15,195.759,1.29212,0.85536,0.92846,0.80925,0.60553,0.68375,0.29319,1.55624,1.25737,1.00748,0.00107675,0.00107675,0.00107675
16,208.556,1.28507,0.84282,0.92944,0.81687,0.74583,0.77599,0.40953,1.39871,1.06982,1.01396,0.00106437,0.00106437,0.00106437
17,221.768,1.30399,0.82793,0.94236,0.79656,0.86516,0.85266,0.42036,1.44785,1.02861,1.01953,0.001052,0.001052,0.001052
18,235.081,1.24173,0.81717,0.94475,0.94125,0.93243,0.95164,0.51266,1.38017,1.08675,0.99527,0.00103962,0.00103962,0.00103962
19,248.071,1.25114,0.78861,0.93519,0.9067,0.95057,0.94422,0.52926,1.27893,0.97723,0.97164,0.00102725,0.00102725,0.00102725
20,260.679,1.19846,0.75293,0.91117,0.91043,0.89828,0.9119,0.45116,1.34118,0.79954,1.01042,0.00101488,0.00101488,0.00101488
21,273.538,1.20082,0.75246,0.9103,0.87152,0.9006,0.93177,0.45071,1.44437,0.82296,1.05977,0.0010025,0.0010025,0.0010025
22,286.457,1.21778,0.75237,0.91784,0.91434,0.95418,0.94415,0.47437,1.31326,0.80908,1.01219,0.000990125,0.000990125,0.000990125
23,299.371,1.14548,0.7427,0.91564,0.8737,0.90228,0.89445,0.45849,1.36286,0.78209,1.02269,0.00097775,0.00097775,0.00097775
24,312.041,1.15864,0.72309,0.91103,0.90304,0.92531,0.93482,0.4799,1.2802,0.76099,1.00952,0.000965375,0.000965375,0.000965375
25,324.355,1.17268,0.71749,0.90819,0.81835,0.73468,0.91744,0.44485,1.36109,0.80863,1.02386,0.000953,0.000953,0.000953
26,342.409,1.20577,0.73268,0.91974,0.83668,0.88243,0.95866,0.52988,1.21997,0.79579,0.99695,0.000940625,0.000940625,0.000940625
27,361.933,1.15167,0.70997,0.917,0.80887,0.88732,0.95333,0.5059,1.35936,0.81127,1.01385,0.00092825,0.00092825,0.00092825
28,381.272,1.15963,0.70877,0.90461,0.82424,0.90793,0.94521,0.49948,1.4079,0.79835,1.02368,0.000915875,0.000915875,0.000915875
29,399.278,1.19366,0.71198,0.91791,0.83863,0.96585,0.94645,0.50064,1.33249,0.77981,1.01031,0.0009035,0.0009035,0.0009035
30,415.696,1.17269,0.7027,0.92819,0.86119,0.94213,0.92527,0.46205,1.40947,0.75078,1.0132,0.000891125,0.000891125,0.000891125
31,434.808,1.18154,0.71059,0.90896,0.94432,0.92799,0.95525,0.56819,1.3176,0.70405,0.99127,0.00087875,0.00087875,0.00087875
32,452.758,1.1555,0.70501,0.91694,0.92237,0.95016,0.93117,0.50424,1.36323,0.72261,0.98549,0.000866375,0.000866375,0.000866375
33,465.295,1.11242,0.66886,0.8985,0.92041,0.94826,0.93265,0.50099,1.27518,0.70984,0.96544,0.000854,0.000854,0.000854
34,477.185,1.13228,0.65866,0.89598,0.92314,0.94637,0.93788,0.521,1.33041,0.7042,0.97968,0.000841625,0.000841625,0.000841625
35,489.118,1.14195,0.69569,0.91265,0.90761,0.89671,0.92569,0.52873,1.31629,0.73884,0.99018,0.00082925,0.00082925,0.00082925
36,501.011,1.13148,0.67858,0.911,0.87593,0.92552,0.92483,0.50515,1.30494,0.72459,1.00216,0.000816875,0.000816875,0.000816875
37,513.058,1.14477,0.68469,0.91028,0.88173,0.93467,0.92622,0.5163,1.37102,0.72913,1.01077,0.0008045,0.0008045,0.0008045
38,525.242,1.14669,0.67471,0.8976,0.89651,0.93285,0.92091,0.55107,1.3274,0.72086,0.98855,0.000792125,0.000792125,0.000792125
39,537.25,1.12505,0.66035,0.89973,0.90161,0.90087,0.9107,0.55912,1.3063,0.71268,0.98468,0.00077975,0.00077975,0.00077975
40,549.225,1.11653,0.65356,0.89338,0.86698,0.90723,0.90501,0.54923,1.24409,0.69059,0.98436,0.000767375,0.000767375,0.000767375
41,560.88,1.0958,0.65751,0.90599,0.92975,0.89443,0.9264,0.55447,1.24387,0.68414,0.9836,0.000755,0.000755,0.000755
42,575.183,1.06701,0.62899,0.89085,0.93013,0.89806,0.92642,0.56102,1.27276,0.65341,0.97501,0.000742625,0.000742625,0.000742625
43,593.221,1.06629,0.62457,0.88505,0.93235,0.95862,0.9413,0.56986,1.20241,0.64758,0.96099,0.00073025,0.00073025,0.00073025
44,605.418,1.10539,0.63212,0.903,0.94016,0.95625,0.94712,0.57453,1.30115,0.69429,0.98765,0.000717875,0.000717875,0.000717875
45,617.091,1.07965,0.64709,0.8951,0.94032,0.95548,0.96007,0.58132,1.31537,0.69958,0.98555,0.0007055,0.0007055,0.0007055
46,628.878,1.04185,0.62631,0.8929,0.94365,0.9574,0.9631,0.5866,1.25729,0.683,0.97029,0.000693125,0.000693125,0.000693125
47,640.809,1.05504,0.61748,0.88235,0.93746,0.905,0.94001,0.54101,1.28597,0.69123,0.96868,0.00068075,0.00068075,0.00068075
48,653.302,1.07067,0.61982,0.87985,0.93117,0.88457,0.93709,0.55228,1.19407,0.66725,0.95985,0.000668375,0.000668375,0.000668375
49,671.583,1.08654,0.6303,0.89662,0.91509,0.88146,0.93198,0.55504,1.17323,0.67133,0.96671,0.000656,0.000656,0.000656
